probeset_id	transcript_id
13340214	AT1G15030;AT1G15040
13340222	AT1G15045
13340224	AT1G15080
13340234	AT1G15110
13340251	AT1G15120
13340261	AT1G15125
13340266	AT1G15150
13340274	AT1G15160
13340280	AT1G15170
13340288	AT1G15180
13340300	AT1G15190
13340304	AT1G15215
13340315	AT1G15240
13340335	AT1G15260
13340339	AT1G15280
13340351	AT1G15330
13340355	AT1G15360
13340360	AT1G15370
13340367	AT1G15380
13340374	AT1G15390
13340379	AT1G15410;AT1G15415
13340385	AT1G15430
13340390	AT1G15470
13340400	AT1G15480
13340406	AT1G15500
13340414	AT1G15510
13340416	AT1G15540
13340420	AT1G15570
13340433	AT1G15590
13340440	AT1G15600
13340445	AT1G15610
13340452	AT1G15620
13340457	AT1G15630
13340463	AT1G15640
13340469	AT1G15660
13340483	AT1G15670
13340487	AT1G15680
13340489	AT1G15690;AT1G15700
13340503	AT1G15710
13340507	AT1G15720
13340511	AT1G15740
13340529	AT1G15760
13340531	AT1G15810
13340539	AT1G15830
13340541	AT1G15840
13340546	AT1G15860
13340560	AT1G15870
13340566	AT1G15885
13340571	AT1G15890
13340575	AT1G15900
13340577	AT1G15910
13340583	AT1G15920
13340590	AT1G15930
13340598	AT1G15940
13340615	AT1G15950
13340626	AT1G15980
13340635	AT1G16000
13340640	AT1G16020
13340652	AT1G16025;AT1G16022
13340655	AT1G16040
13340665	AT1G16060
13340676	AT1G16080
13340684	AT1G16090
13340690	AT1G16110
13340695	AT1G16120
13340699	AT1G16130
13340705	AT1G16150
13340709	AT1G16160
13340713	AT1G16180
13340723	AT1G16190
13340737	AT1G16220
13340743	AT1G16250
13340748	AT1G16270
13340759	AT1G16300
13340775	AT1G16310
13340783	AT1G16320
13340788	AT1G16350
13340795	AT1G16370
13340799	AT1G16390
13340802	AT1G16400
13340808	AT1G16410
13340815	AT1G16430
13340820	AT1G16440
13340826	AT1G16445
13340834	AT1G16470
13340849	AT1G16490;AT1G16489
13340854	AT1G16500
13340858	AT1G16520
13340870	AT1G16540
13340894	AT1G16560
13340904	AT1G16590
13340912	AT1G16640
13340917	AT1G16650
13340931	AT1G16670
13340941	AT1G16680
13340952	AT1G16690
13340966	AT1G16700
13340976	AT1G16705
13340983	AT1G16710
13341008	AT1G16720
13341023	AT1G16740
13341028	AT1G16760
13341038	AT1G16770;AT1G16780
13341046	AT1G16790
13341050	AT1G16810
13341055	AT1G16825
13341061	AT1G16830
13341063	AT1G16860;AT1G16858
13341073	AT1G16880
13341089	AT1G16910
13341093	AT1G16930
13341097	AT1G16940
13341101	AT1G16950
13341105	AT1G16960
13341112	AT1G16980
13341128	AT1G17000
13341144	AT1G17010
13341151	AT1G17020
13341158	AT1G17030
13341165	AT1G17040
13341178	AT1G17050
13341187	AT1G17070
13341191	AT1G17100
13341196	AT1G17120
13341199	AT1G17130
13341210	AT1G17150
13341215	AT1G17160
13341223	AT1G17170
13341228	AT1G17180
13341233	AT1G17190
13341238	AT1G17200
13341245	AT1G17220
13341260	AT1G17230
13341265	AT1G17235
13341267	AT1G17250;AT1G17255
13341273	AT1G17260
13341293	AT1G17285
13341298	AT1G17290
13341313	AT1G17300
13341317	AT1G17330
13341326	AT1G17340
13341345	AT1G17345
13341349	AT1G17350
13341359	AT1G17360
13341372	AT1G17420
13341382	AT1G17430
13341389	AT1G17455
13341394	AT1G17460
13341406	AT1G17470
13341419	AT1G17490
13341424	AT1G17500
13341436	AT1G17530
13341440	AT1G17545
13341443	AT1G17550
13341450	AT1G17580
13341481	AT1G17610
13341484	AT1G17615
13341487	AT1G17620
13341491	AT1G17630
